date,session_key,driver_number,position,meeting_key
2026-09-04T14:05:50.064000+00:00,11355,27,15,1293
2026-09-04T14:05:50.064000+00:00,11355,30,8,1293
2026-09-04T14:05:50.064000+00:00,11355,31,19,1293
2026-09-04T14:05:50.064000+00:00,11355,41,6,1293
2026-09-04T14:05:50.064000+00:00,11355,43,13,1293
2026-09-04T14:05:50.064000+00:00,11355,44,4,1293
2026-09-04T14:05:50.064000+00:00,11355,55,12,1293
2026-09-04T14:05:50.064000+00:00,11355,63,3,1293
2026-09-04T14:05:50.064000+00:00,11355,77,18,1293
2026-09-04T14:05:50.064000+00:00,11355,81,7,1293
2026-09-04T14:05:50.064000+00:00,11355,87,14,1293
2026-09-04T14:07:41.432000+00:00,11355,22,12,1293
2026-09-04T14:07:41.432000+00:00,11355,43,11,1293
2026-09-04T14:07:41.432000+00:00,11355,55,13,1293
2026-09-04T14:07:53.617000+00:00,11355,22,13,1293
2026-09-04T14:07:53.617000+00:00,11355,55,12,1293
2026-09-04T14:08:09.142000+00:00,11355,1,6,1293
2026-09-04T14:08:09.142000+00:00,11355,41,7,1293
2026-09-04T14:08:09.142000+00:00,11355,81,5,1293
2026-09-04T14:08:13.044000+00:00,11355,27,14,1293
2026-09-04T14:08:13.044000+00:00,11355,87,15,1293
2026-09-04T14:08:33.564000+00:00,11355,1,7,1293
2026-09-04T14:08:33.564000+00:00,11355,41,4,1293
2026-09-04T14:08:33.564000+00:00,11355,44,5,1293
2026-09-04T14:08:33.564000+00:00,11355,81,6,1293
2026-09-04T14:09:42.910000+00:00,11355,16,3,1293
2026-09-04T14:09:42.910000+00:00,11355,63,2,1293
2026-09-04T14:09:55.805000+00:00,11355,3,11,1293
2026-09-04T14:09:55.805000+00:00,11355,5,10,1293
2026-09-04T14:09:55.805000+00:00,11355,22,9,1293
2026-09-04T14:09:55.805000+00:00,11355,43,12,1293
2026-09-04T14:09:55.805000+00:00,11355,55,13,1293
2026-09-04T14:10:22.290000+00:00,11355,27,15,1293
2026-09-04T14:10:22.290000+00:00,11355,87,14,1293
2026-09-04T14:10:25.136000+00:00,11355,18,18,1293
2026-09-04T14:10:25.136000+00:00,11355,23,17,1293
2026-09-04T14:10:25.136000+00:00,11355,31,16,1293
2026-09-04T14:10:25.136000+00:00,11355,77,19,1293
2026-09-04T14:10:34.506000+00:00,11355,10,16,1293
2026-09-04T14:10:34.506000+00:00,11355,18,19,1293
2026-09-04T14:10:34.506000+00:00,11355,23,18,1293
2026-09-04T14:10:34.506000+00:00,11355,31,17,1293
2026-09-04T14:10:34.506000+00:00,11355,77,20,1293
2026-09-04T14:10:38.021000+00:00,11355,10,17,1293
2026-09-04T14:10:38.021000+00:00,11355,23,16,1293
2026-09-04T14:10:38.021000+00:00,11355,31,18,1293
2026-09-04T14:11:28.212000+00:00,11355,3,12,1293
2026-09-04T14:11:28.212000+00:00,11355,5,11,1293
2026-09-04T14:11:28.212000+00:00,11355,22,10,1293
2026-09-04T14:11:28.212000+00:00,11355,43,9,1293
2026-09-04T14:11:36.175000+00:00,11355,3,13,1293
