date,session_key,lap_number,driver_number,stop_duration,lane_duration,pit_duration,meeting_key,source_closure_retrieved_utc
2026-07-05T14:59:25.087000+00:00,11326,35,12,,28.9,28.9,1289,2026-09-06T22:38:13.434275Z
2026-07-05T14:59:28.796000+00:00,11326,34,27,,35.8,35.8,1289,2026-09-06T22:38:13.434275Z
2026-07-05T15:02:44.835000+00:00,11326,36,81,,29.5,29.5,1289,2026-09-06T22:38:13.434275Z
2026-07-05T15:03:32.875000+00:00,11326,35,23,,31.4,31.4,1289,2026-09-06T22:38:13.434275Z
2026-07-05T15:04:38.769000+00:00,11326,38,3,,28.9,28.9,1289,2026-09-06T22:38:13.434275Z
2026-07-05T15:04:55.474000+00:00,11326,38,1,,29.8,29.8,1289,2026-09-06T22:38:13.434275Z
2026-07-05T15:05:14.352000+00:00,11326,38,6,,36.4,36.4,1289,2026-09-06T22:38:13.434275Z
2026-07-05T15:09:41.585000+00:00,11326,41,12,,41.2,41.2,1289,2026-09-06T22:38:13.434275Z
2026-07-05T15:12:16.429000+00:00,11326,40,23,,32.5,32.5,1289,2026-09-06T22:38:13.434275Z
2026-07-05T15:13:31.663000+00:00,11326,43,12,,33.6,33.6,1289,2026-09-06T22:38:13.434275Z
